time,leftEncoderCount,rightEncoderCount
4835,-22.11,-27.98
4845,-21.77,-26.91
4855,-16.98,-23.94
4865,-9.57,-19.56
4875,-0.68,-13.72
4885,8.14,-7.67
4895,16.14,-0.76
4905,24.62,6.39
4915,33.93,14.26
4925,44.25,21.98
4935,54.55,30.04
4945,64.05,37.66
4955,73.75,45.87
4965,83.68,54.79
4975,93.85,63.39
4985,104.62,71.82
4995,115.00,79.38
5005,125.25,87.00
5015,133.67,94.56
5025,143.61,102.25
5035,154.20,109.76
5045,165.36,116.98
5055,174.98,124.26
5065,183.35,132.06
5075,193.65,140.25
5085,204.32,148.69
5095,215.58,157.14
5105,225.34,165.80
5115,234.67,174.46
5125,244.27,182.75
5135,253.94,190.42
5145,265.00,197.96
5155,274.83,205.65
5165,285.19,213.60
5175,293.63,221.76
5185,303.44,229.77
5195,314.24,237.65
5205,326.08,245.70
5215,336.14,253.55
5225,343.65,262.16
5235,353.95,270.74
5245,364.57,279.01
5255,375.96,286.80
5265,385.04,294.76
5275,394.32,303.13
5285,404.10,311.50
5295,414.95,319.76
5305,425.64,327.54
5315,436.46,335.46
5325,445.59,343.76
5335,455.50,352.44
5345,465.15,360.47
5355,474.69,368.01
5365,482.75,375.49
5375,491.12,382.92
5385,499.28,389.81
5395,505.99,396.04
5405,513.86,401.96
5415,521.63,406.79
5425,530.19,412.24
5435,538.87,417.63
5445,546.54,423.79
5455,553.03,430.20
5465,559.39,435.84
5475,567.24,441.76
5485,575.59,447.18
5495,583.25,452.47
5505,590.48,458.05
5515,597.99,463.66
5525,605.76,469.66
5535,613.40,475.55
5545,620.41,481.92
5555,627.43,488.20
5565,635.77,494.09
5575,644.43,500.07
5585,652.33,505.75
5595,659.40,511.75
5605,665.66,517.30
5615,672.13,523.17
5625,680.37,529.04
5635,688.53,534.77
5645,696.61,540.93
5655,703.60,546.59
5665,710.67,552.82
5675,717.68,559.08
5685,724.96,564.95
5695,732.99,570.76
5705,741.94,577.15
5715,750.15,583.51
5725,757.79,590.16
5735,764.75,596.79
5745,771.90,603.28
5755,779.49,609.33
5765,786.84,614.65
5775,794.40,620.57
5785,801.86,626.44
5795,810.18,632.80
5805,817.38,639.11
5815,824.16,645.34
5825,831.15,651.21
5835,839.00,656.82
5845,847.45,662.97
5855,855.43,668.19
5865,862.39,672.86
5875,867.76,677.60
5885,871.72,681.80
5895,875.90,685.92
5905,880.72,690.41
5915,885.18,694.06
5925,890.68,698.26
5935,896.19,702.12
5945,901.14,705.51
5955,906.20,708.82
5965,911.47,712.05
5975,916.16,714.48
5985,921.01,716.85
5995,925.63,719.07
6005,930.32,721.70
6015,934.81,723.99
6025,939.55,726.08
