Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
4485,-3.05,28.66,0,0
4511,-3.05,28.66,0.0,0.0
4529,-3.05,28.66,0.0,0.0
4545,-3.05,28.66,0.0,0.0
4562,-3.03,28.69,0.020000000000000018,0.030000000000001137
4578,-2.95,28.71,0.07999999999999963,0.019999999999999574
4595,-2.82,28.76,0.13000000000000034,0.05000000000000071
4614,-2.66,28.87,0.1599999999999997,0.10999999999999943
4630,-2.48,29.02,0.18000000000000016,0.14999999999999858
4646,-2.29,29.21,0.18999999999999995,0.19000000000000128
4663,-2.09,29.36,0.20000000000000018,0.14999999999999858
4681,-1.88,29.6,0.20999999999999996,0.240000000000002
4698,-1.67,29.75,0.20999999999999996,0.14999999999999858
4714,-1.49,29.94,0.17999999999999994,0.19000000000000128
4730,-1.28,30.2,0.20999999999999996,0.259999999999998
4747,-0.86,30.35,0.42000000000000004,0.15000000000000213
4763,-0.55,30.54,0.30999999999999994,0.18999999999999773
4780,-0.21,30.72,0.3400000000000001,0.17999999999999972
4797,0.0,30.9,0.21,0.17999999999999972
4813,0.47,31.11,0.47,0.21000000000000085
4829,0.83,31.29,0.36,0.17999999999999972
4846,1.2,31.48,0.37,0.19000000000000128
4862,1.56,31.61,0.3600000000000001,0.129999999999999
4879,1.88,31.74,0.31999999999999984,0.129999999999999
4897,2.24,31.84,0.3600000000000003,0.10000000000000142
4913,2.58,32.1,0.33999999999999986,0.26000000000000156
4929,3.05,32.44,0.46999999999999975,0.3399999999999963
4946,3.55,32.81,0.5,0.37000000000000455
4963,3.96,33.12,0.41000000000000014,0.30999999999999517
4980,4.49,33.46,0.5300000000000002,0.3400000000000034
4997,4.98,33.77,0.4900000000000002,0.3100000000000023
5015,5.48,34.03,0.5,0.259999999999998
5031,5.89,34.27,0.40999999999999925,0.240000000000002
5047,6.36,34.5,0.47000000000000064,0.22999999999999687
5064,6.81,34.68,0.4499999999999993,0.17999999999999972
5081,7.22,34.92,0.41000000000000014,0.240000000000002
