time,leftEncoderCount,rightEncoderCount
18480,67.12,16.64
18490,67.12,16.79
18500,68.69,18.52
18510,71.58,21.04
18520,75.29,23.94
18530,79.72,27.07
18540,83.55,30.72
18550,88.33,34.16
18560,93.57,38.23
18570,98.83,42.35
18580,104.86,46.57
18590,110.36,51.09
18600,115.81,55.49
18610,120.87,59.48
18620,124.94,63.19
18630,129.24,66.60
18640,133.36,70.10
18650,138.26,73.46
18660,143.22,76.90
18670,148.72,80.19
18680,154.04,83.79
18690,159.18,87.26
18700,164.34,90.49
18710,168.70,93.75
18720,174.07,97.06
18730,178.89,100.01
18740,182.96,103.19
18750,187.37,106.50
18760,192.66,110.00
18770,197.77,113.26
18780,203.48,116.67
18790,209.06,120.58
18800,214.36,124.39
18810,219.47,128.41
18820,224.82,132.37
18830,229.69,136.13
18840,234.36,139.83
18850,239.03,143.64
18860,243.54,147.26
18870,247.84,151.28
18880,253.11,155.19
18890,258.38,159.67
18900,263.38,164.05
18910,269.62,168.10
18920,274.88,172.24
18930,279.03,176.34
18940,284.19,179.47
18950,288.81,182.52
18960,292.57,185.28
18970,297.16,187.97
18980,301.90,190.26
18990,307.64,192.82
19000,313.66,195.27
19010,319.43,198.22
19020,324.72,201.68
19030,329.57,204.76
19040,334.05,208.13
19050,338.59,211.49
19060,343.03,214.91
19070,347.90,218.50
19080,352.54,221.76
19090,357.32,225.15
19100,362.66,228.44
19110,368.09,232.35
19120,373.28,235.90
19130,378.49,239.94
19140,383.45,244.09
19150,388.01,248.26
19160,392.73,252.33
19170,397.29,256.84
19180,402.12,260.99
19190,407.44,265.39
19200,412.68,269.72
19210,418.08,273.89
19220,422.98,278.22
19230,428.90,282.29
19240,434.56,286.10
19250,439.98,289.51
19260,444.68,292.85
19270,448.69,296.37
19280,452.73,299.53
19290,457.45,302.50
19300,462.33,305.42
19310,467.42,308.32
19320,473.15,311.37
19330,478.29,314.81
19340,484.08,318.28
19350,489.37,321.93
19360,493.62,325.79
19370,498.19,329.23
19380,502.15,332.88
19390,506.82,336.98
19400,511.88,340.76
19410,517.28,344.54
19420,523.07,348.24
19430,528.80,352.07
19440,534.36,355.75
19450,539.36,359.61
19460,544.29,363.94
19470,549.59,368.43
19480,554.15,373.15
19490,558.66,377.55
19500,563.23,381.70
19510,567.79,385.71
19520,573.27,389.39
19530,578.53,392.63
19540,583.51,395.73
19550,588.81,398.96
19560,594.15,402.48
19570,599.24,405.48
19580,603.75,408.64
19590,608.37,411.69
19600,613.27,415.39
19610,617.75,419.09
19620,622.37,422.67
19630,627.48,426.14
19640,633.50,429.37
19650,639.45,432.19
19660,644.98,434.95
19670,650.25,437.90
19680,654.39,441.16
19690,659.03,444.60
19700,663.55,447.99
19710,667.69,451.67
19720,672.62,455.47
19730,677.68,459.20
19740,683.08,462.67
19750,688.22,466.45
19760,693.93,469.79
19770,699.38,473.49
19780,704.02,477.90
19790,708.53,482.07
19800,712.78,486.30
19810,717.66,490.36
19820,722.90,494.43
19830,727.33,498.29
19840,733.20,501.92
19850,739.07,505.07
19860,744.28,508.05
19870,749.21,510.42
19880,754.90,512.90
19890,759.90,515.79
19900,764.49,518.53
19910,768.82,521.81
19920,773.28,525.15
19930,777.92,529.01
19940,782.80,532.71
19950,788.33,536.63
19960,793.23,540.51
19970,798.16,544.16
19980,803.79,547.89
19990,809.69,551.23
20000,814.67,554.80
20010,818.76,558.35
20020,822.83,561.87
20030,827.57,565.89
20040,832.74,569.72
20050,837.82,573.73
20060,843.38,578.32
20070,849.25,582.65
20080,855.03,587.14
20090,860.09,591.44
20100,865.34,595.56
20110,869.82,599.21
20120,874.20,603.02
20130,878.71,606.12
20140,883.82,608.99
20150,889.04,611.60
20160,893.97,614.36
20170,899.18,616.63
20180,903.98,618.82
20190,909.43,621.09
20200,914.41,623.52
20210,919.16,626.70
20220,924.14,629.72
20230,928.86,632.91
20240,933.27,635.72
20250,937.86,638.88
20260,942.97,641.72
20270,948.37,644.93
20280,954.03,648.11
20290,959.42,651.86
20300,964.90,655.85
20310,970.35,659.45
20320,975.33,663.34
20330,980.52,667.46
20340,985.11,671.08
20350,989.26,674.42
20360,993.43,677.71
20370,998.23,681.07
20380,1003.91,685.45
20390,1009.26,689.31
20400,1014.58,694.21
20410,1020.60,698.54
20420,1025.90,702.92
20430,1030.30,707.20
20440,1033.82,711.16
20450,1038.70,714.71
20460,1043.32,717.79
20470,1048.48,720.81
20480,1053.85,723.81
