time,leftEncoderCount,rightEncoderCount
4881,0.00,2.06
4891,10.00,0.00
4901,20.00,0.00
4911,30.00,-3.82
4921,40.00,-5.18
4931,50.00,-0.24
4941,60.00,0.00
4951,70.00,14.52
4961,80.00,36.91
4971,90.00,15.31
4981,100.00,65.44
4991,110.00,59.77
5001,120.00,100.57
5011,130.00,113.48
5021,140.00,126.61
5031,150.00,131.78
5041,160.00,158.00
5051,170.00,140.47
5061,180.00,144.51
5071,190.00,145.99
5081,200.00,157.68
5091,210.00,175.06
5101,220.00,195.85
5111,230.00,223.96
5121,240.00,223.81
5131,250.00,245.58
5141,260.00,263.87
5151,270.00,265.88
5161,280.00,260.94
5171,290.00,276.84
5181,300.00,280.96
5191,310.00,282.57
5201,320.00,278.40
5211,330.00,289.67
5221,340.00,320.68
5231,350.00,344.90
5241,360.00,378.95
5251,370.00,397.86
5261,380.00,316.21
5271,390.00,357.89
5281,400.00,383.34
5291,410.00,363.46
5301,420.00,379.96
5311,430.00,355.03
5321,440.00,396.59
5331,450.00,429.83
5341,460.00,468.56
5351,470.00,495.32
5361,480.00,500.34
5371,490.00,422.15
5381,500.00,495.49
5391,510.00,494.35
5401,520.00,494.12
5411,530.00,517.57
5421,540.00,547.19
5431,550.00,563.13
5441,560.00,542.84
5451,570.00,575.13
5461,580.00,550.60
5471,590.00,536.46
5481,600.00,609.13
5491,610.00,569.38
5501,620.00,622.13
5511,630.00,659.99
5521,640.00,670.52
5531,650.00,660.90
5541,660.00,632.95
5551,670.00,607.69
5561,680.00,617.86
5571,690.00,672.55
5581,700.00,661.57
5591,710.00,711.44
5601,720.00,725.23
5611,730.00,726.72
5621,740.00,706.33
5631,750.00,114.75
5641,760.00,-256.62
5651,770.00,7.38
5661,780.00,227.27
5671,790.00,752.19
5681,800.00,806.57
5691,800.00,448.81
5701,800.00,631.70
5711,800.00,798.90
5721,800.00,703.76
5731,800.00,762.33
5741,800.00,802.75
5751,800.00,802.12
5761,800.00,842.07
5771,800.00,798.97
5781,800.00,812.54
5791,800.00,834.57
5801,800.00,801.32
5811,800.00,822.17
5821,800.00,795.69
5831,800.00,805.81
5841,800.00,795.54
5851,800.00,811.70
5861,800.00,767.40
5871,800.00,804.54
5881,800.00,807.81
5891,800.00,826.89
5901,800.00,786.22
5911,800.00,777.51
5921,800.00,853.99
5931,800.00,824.73
5941,800.00,842.95
5951,800.00,837.22
5961,800.00,803.91
5971,800.00,794.90
5981,800.00,803.58
5991,800.00,783.76
6001,800.00,781.76
6011,800.00,795.62
6021,800.00,821.79
6031,800.00,878.19
6041,800.00,789.88
6051,800.00,73.62
6061,800.00,808.49
6071,800.00,-279.95
6081,800.00,794.05
6091,800.00,285.30
6101,800.00,791.59
6111,800.00,798.11
6121,800.00,860.94
6131,800.00,683.92
6141,800.00,815.33
6151,800.00,927.80
6161,800.00,992.09
6171,800.00,839.00
6181,800.00,933.10
6191,800.00,810.82
6201,800.00,740.04
6211,800.00,734.53
6221,800.00,814.02
6231,800.00,791.77
6241,800.00,748.39
6251,800.00,815.19
6261,800.00,796.63
6271,800.00,830.51
6281,800.00,827.02
6291,800.00,857.44
6301,800.00,847.48
6311,800.00,850.38
6321,800.00,808.80
6331,800.00,805.35
6341,800.00,780.20
6351,800.00,757.90
6361,800.00,751.58
6371,800.00,794.42
6381,800.00,815.14
6391,800.00,817.20
6401,800.00,784.27
6411,800.00,825.40
6421,800.00,789.62
6431,800.00,823.71
6441,800.00,842.67
6451,800.00,829.29
6461,800.00,812.81
6471,800.00,810.80
6481,800.00,808.54
6491,800.00,803.26
6501,800.00,751.58
6511,800.00,796.14
6521,800.00,816.67
6531,800.00,791.89
6541,800.00,792.62
6551,800.00,800.80
6561,800.00,830.88
6571,800.00,833.70
6581,800.00,841.75
6591,800.00,819.02
6601,800.00,808.54
6611,800.00,799.59
6621,800.00,801.96
