Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
4457,51.48,51.01,0,0
4474,51.48,51.01,0.0,0.0
4491,51.48,51.01,0.0,0.0
4508,51.48,51.03,0.0,0.020000000000003126
4525,51.5,51.11,0.020000000000003126,0.0799999999999983
4541,51.5,51.22,0.0,0.10999999999999943
4560,51.66,51.56,0.1599999999999966,0.3400000000000034
4576,51.89,51.82,0.23000000000000398,0.259999999999998
4593,52.26,52.1,0.36999999999999744,0.28000000000000114
4610,52.62,52.42,0.35999999999999943,0.3200000000000003
4625,53.02,52.76,0.4000000000000057,0.3399999999999963
4643,53.41,53.12,0.38999999999999346,0.35999999999999943
4660,53.8,53.54,0.39000000000000057,0.4200000000000017
4677,54.19,54.01,0.39000000000000057,0.46999999999999886
4694,54.58,54.48,0.39000000000000057,0.46999999999999886
4711,55.0,54.97,0.4200000000000017,0.490000000000002
4728,55.39,55.57,0.39000000000000057,0.6000000000000014
4744,56.07,56.01,0.6799999999999997,0.4399999999999977
4761,56.54,56.48,0.46999999999999886,0.46999999999999886
4778,57.06,56.95,0.5200000000000031,0.47000000000000597
4794,57.58,57.55,0.519999999999996,0.5999999999999943
4811,58.07,58.18,0.490000000000002,0.6300000000000026
4828,58.7,58.78,0.6300000000000026,0.6000000000000014
4846,59.38,59.38,0.6799999999999997,0.6000000000000014
4863,60.03,59.9,0.6499999999999986,0.519999999999996
4880,60.66,60.45,0.6299999999999955,0.5500000000000043
4896,61.2,61.0,0.5400000000000063,0.5499999999999972
4914,61.88,61.78,0.6799999999999997,0.7800000000000011
4931,62.82,62.43,0.9399999999999977,0.6499999999999986
4949,63.47,63.03,0.6499999999999986,0.6000000000000014
4966,64.15,63.76,0.6800000000000068,0.7299999999999969
4982,64.8,64.46,0.6499999999999915,0.6999999999999957
4998,65.59,65.17,0.7900000000000063,0.710000000000008
5016,66.37,65.85,0.7800000000000011,0.6799999999999926
5033,67.15,66.55,0.7800000000000011,0.7000000000000028
5049,67.96,67.12,0.8099999999999881,0.5700000000000074
5067,68.66,67.83,0.7000000000000028,0.7099999999999937
5083,69.42,68.74,0.7600000000000051,0.9099999999999966
5101,70.41,69.52,0.9899999999999949,0.7800000000000011
5120,71.27,70.31,0.8599999999999994,0.7900000000000063
5136,72.1,71.01,0.8299999999999983,0.7000000000000028
5152,72.91,71.64,0.8100000000000023,0.6299999999999955
5170,73.7,72.29,0.7900000000000063,0.6500000000000057
5186,74.35,72.91,0.6499999999999915,0.6199999999999903
5204,75.08,73.67,0.730000000000004,0.7600000000000051
5221,75.7,74.37,0.6200000000000045,0.7000000000000028
5237,76.36,75.08,0.6599999999999966,0.7099999999999937
5254,77.16,75.86,0.7999999999999972,0.7800000000000011
5272,78.31,77.06,1.1500000000000057,1.2000000000000028
5290,79.09,77.87,0.7800000000000011,0.8100000000000023
5308,79.88,78.68,0.789999999999992,0.8100000000000023
5325,80.89,79.43,1.0100000000000051,0.75
5342,81.91,80.24,1.019999999999996,0.8099999999999881
5359,82.9,81.02,0.9900000000000091,0.7800000000000011
5378,84.05,81.99,1.1499999999999915,0.9699999999999989
5395,85.09,82.93,1.0400000000000063,0.9400000000000119
5412,86.26,84.05,1.1700000000000017,1.1199999999999903
5428,87.26,85.33,1.0,1.2800000000000011
5445,88.48,86.08,1.2199999999999989,0.75
5465,89.47,86.89,0.9899999999999949,0.8100000000000023
5483,90.46,87.75,0.9899999999999949,0.8599999999999994
5501,91.53,88.82,1.0700000000000074,1.0699999999999932
5517,92.52,89.89,0.9899999999999949,1.0700000000000074
5534,93.83,90.83,1.3100000000000023,0.9399999999999977
5549,95.29,91.9,1.460000000000008,1.0700000000000074
5565,96.64,92.91,1.3499999999999943,1.009999999999991
5583,98.16,94.38,1.519999999999996,1.4699999999999989
5599,99.77,95.18,1.6099999999999994,0.8000000000000114
5616,100.92,95.97,1.1500000000000057,0.789999999999992
5634,102.28,97.22,1.3599999999999994,1.25
5652,103.66,98.42,1.3799999999999955,1.2000000000000028
5669,105.12,99.67,1.460000000000008,1.25
5688,106.42,101.0,1.2999999999999972,1.3299999999999983
5705,107.86,102.15,1.4399999999999977,1.1500000000000057
5722,109.29,103.48,1.4300000000000068,1.3299999999999983
5741,111.04,105.07,1.75,1.5899999999999892
5758,112.0,105.98,0.9599999999999937,0.9100000000000108
5775,113.26,106.79,1.2600000000000051,0.8100000000000023
5793,114.48,108.27,1.2199999999999989,1.4799999999999898
5812,115.68,109.55,1.2000000000000028,1.2800000000000011
5829,116.8,110.83,1.1199999999999903,1.2800000000000011
5848,118.0,112.13,1.2000000000000028,1.2999999999999972
5866,119.15,113.12,1.1500000000000057,0.9900000000000091
5884,120.27,114.38,1.1199999999999903,1.259999999999991
5902,121.39,115.5,1.1200000000000045,1.1200000000000045
5920,122.49,116.67,1.0999999999999943,1.1700000000000017
5938,123.66,117.95,1.1700000000000017,1.2800000000000011
5956,124.86,119.23,1.2000000000000028,1.2800000000000011
5975,126.09,120.5,1.230000000000004,1.269999999999996
5994,127.34,121.73,1.25,1.230000000000004
6012,128.54,122.9,1.1999999999999886,1.1700000000000017
6031,129.74,124.26,1.200000000000017,1.3599999999999994
6050,130.96,125.02,1.2199999999999989,0.7599999999999909
6068,132.19,125.98,1.2299999999999898,0.960000000000008
6086,133.44,127.15,1.25,1.1700000000000017
6105,134.74,128.46,1.3000000000000114,1.3100000000000023
6123,136.13,129.81,1.3899999999999864,1.3499999999999943
6140,137.53,131.2,1.4000000000000057,1.3899999999999864
6157,138.81,132.53,1.2800000000000011,1.3300000000000125
6175,140.19,134.14,1.3799999999999955,1.6099999999999852
6194,141.58,134.93,1.3900000000000148,0.7900000000000205
6212,142.93,135.92,1.3499999999999943,0.9899999999999807
6230,144.5,137.12,1.5699999999999932,1.200000000000017
6248,146.03,138.47,1.5300000000000011,1.3499999999999943
6266,147.55,139.88,1.5200000000000102,1.4099999999999966
6285,148.9,141.24,1.3499999999999943,1.3600000000000136
6303,150.13,142.51,1.2299999999999898,1.2699999999999818
6321,151.28,144.13,1.1500000000000057,1.6200000000000045
6339,152.63,144.86,1.3499999999999943,0.7300000000000182
6356,153.99,146.03,1.3600000000000136,1.1699999999999875
6374,155.48,147.18,1.4899999999999807,1.1500000000000057
6392,157.04,148.38,1.5600000000000023,1.1999999999999886
6410,158.58,149.79,1.5400000000000205,1.4099999999999966
6429,160.06,151.28,1.4799999999999898,1.490000000000009
6446,161.47,152.71,1.4099999999999966,1.4300000000000068
6464,162.88,153.99,1.4099999999999966,1.2800000000000011
6481,164.29,155.14,1.4099999999999966,1.1499999999999773
